To,Body
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



"
Padraig Brady <padraig.brady@corvil.com>,"On Fri, Aug 02, 2002 at 09:40:52AM +0100, Padraig Brady mentioned:
> > Most likely.
> > Hey...is that one of my nice wai-yip stuffed ones ?
> Ah, I new I had one extra.
> Ransom is a pint.

 Well, as you seem to be mating them up in Longford, keep it till it has
chicks, and send me two :)

Kate


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
fork@example.com,"There's been well documented articles, studies of the
French tax laws, corporate governance, and financial
oversight that 1) dont' easily allow for ISOs, the root
of almost all entrepreneurialship, and 2) the easy flow
of capital to new ventures.  It was an extremely large
issue, even debated widely in France.

Greg

Chuck Murcko wrote:

> According to my son, it was actually Homer Simpson, who claimed the 
> French had no word for victory.
> 
> Chuck
> 
> On Thursday, August 22, 2002, at 01:58 PM, Robert Harley wrote:
> 
>> An apparent quote from Dubya, from the Times (sent to me by my Dad):
>>
>> http://www.timesonline.co.uk/printFriendly/0,,1-43-351083,00.html
>>
>> ------------------------------------------------------------------------------ 
>>
>> TONY BLAIR's special relationship with George W. Bush is under
>> considerable strain. Not only do the two disagree on Yassir Arafat's
>> tenure as leader of the Palestinian Authority, but Blair has started
>> telling disparaging anecdotes about the President.
>>
>> Baroness Williams of Crosby recalled a story told to her by 'my good
>> friend Tony Blair' recently in Brighton. Blair, Bush and Jacques
>> Chirac were discussing economics and, in particular, the decline of
>> the French economy. 'The problem with the French,' Bush confided in
>> Blair, 'is that they don't have a word for entrepreneur.'
>> ------------------------------------------------------------------------------ 
>>
>>
>> R
>> http://xent.com/mailman/listinfo/fork
>>
> 
> http://xent.com/mailman/listinfo/fork
> 



http://xent.com/mailman/listinfo/fork

"
ilug@linux.ie,"On Thu, Jul 18, 2002 at 11:13:24PM +0100, John Gay wrote:

> kdebase took just under 46 hours. I've got lots of grief from the wife for 
> the computer running 'round the clock this week. The rest of KDE should build 

Tell her that the computer is less likely to fail if it's never turned off
so you won't need to be spending money on repairs, and that this offsets the
electricity costs.

This has the advantage of actually being true (well, up to the , anyway) :-)



Niall

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
"""'zzzzteana@yahoogroups.com'"" <zzzzteana@yahoogroups.com>","http://news.bbc.co.uk/1/hi/technology/2219079.stm

US soldiers on peacekeeping duties in the future could find that a portable
translation device will be an essential part of their equipment. 
Scientists at Carnegie Mellon University have developed a prototype of a
speech translator that was road-tested by US Army chaplains in Croatia. 

""This project shows how a relatively simple speech-to-speech translation
system can be rapidly and successfully constructed using today's tools,""
said the team from Carnegie Mellon University in a research paper published
recently. 

The research was commissioned by the US Army, which is increasingly finding
itself in peace-keeping roles where communication is key. 

Speaking in tongues 

""In the Balkans, the Army is not just supposed to conquer somebody,"" Robert
Frederking of Carnegie Mellon University told the BBC programme Go Digital. 

 
Translators could be essential for US soldiers
 
""In a peacekeeping situation, you have two guys trying to beat each other up
and you are holding them apart. 

""You can't just shot one of them, you have to figure what is going on and
talk to them,"" he said. 

The portable translator was developed with a year, using commercially
available laptops. 

The Army did not want to field-test the device in a battlefield situation.
So instead the translator was tested by US Army chaplains in Croatia. 

""The chaplains very often end up having to talk to foreign nationals and
typically don't have any translation support,"" explained Mr Frederking. 

Slow system 

For the trials, the chaplains used the translator to speak to Croatians who
knew just a smattering of English. 

The system works by having a speech recogniser that picks up the words in
Croatian, turns the speech into text. The written words are then translated
into English and read out by a speech synthesizer. 

""It went reasonably well half the time,"" said Mr Frederking, though it was
slow in translating phrases. 

The research team admit that the system is not ready to be deployed in the
field. 

But they say their trials showed that a portable translator could be made to
work with further research and development. 

The Audio Voice Translation Guide System project was a joint venture between
the US Army, the military manufacturer Lockheed Martin and Carnegie Mellon
University. 


------------------------ Yahoo! Groups Sponsor ---------------------~-->
Receive Phone Calls and Faxes While You're Online!
Emerson Switchboard eliminates the need for a second phone line.
Order the Switchboard today for $39.95 + shipping and handling.
http://us.click.yahoo.com/P2sPyA/o6kEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



"
Paul Jakma <paul@clubi.ie>,"On Sun, Jul 21, 2002 at 01:47:39AM +0100, Paul Jakma wrote:
> isnt this standard behaviour?? mv uses rename() which replaces the
> new path name:

why, yes.  yes it is.  i think that was my point.

> yes it does. :)
> 
> but your super-links dont is what you're saying i guess. but why? why
> would you want a symlink, bar, linking to foo, to stop linking if foo
> is changed?

uh, i wouldn't.  i was referring to the previous message which discussed
the idea of a symlink that referred to a 64 bit device id and the inode
of the file.  i gave two examples of why it wouldn't work.

> >     % ln -ss foo bar
> >     % ls -i foo
> >     111 foo
> >     % rm foo
> >     % touch floyd
> >     % ls -i floyd
> >     111 floyd
> is this an example of inode reuse? :) or do you mean that somehow 
> floyd is the new foo, (foo is dead, all hail floyd) and that bar now 
> points to floyd?

yes.  i did fail to mention that floyd might not use inode 111, but
it might.  and that was my point, having these mythical symlinks point
to the device+inode is not simple.  just like the unrm thing, it might
be possible, but hard links and soft links are the best implementations
that have survived to date on unix.  windows shortcuts are kinda weird -
they're really an application level thing.

mac aliases seem to take the idea of unix symlinks (linking by filename)
along with the concept of device+inode.  i don't know mac internals,
but i seem to remember being told it tried the former first, and then
tried the latter.  how it would deal with the 2nd example i mentioned i
dunno - i'm not certain if the mac version of inodes would suffer from
that (maybe the fs identifier for the file included the creation time
or something like that).

> how do i control this 'symlinks magically link to new files' feature?

i think it would be difficult.  it would also fail to work in numerous
situations.

kevin

-- 
kevin@suberic.net     that a believer is happier than a skeptic is no more to
fork()'ed on 37058400    the point than the fact that a drunken man is happier
meatspace place: home       than a sober one. the happiness of credulity is a
http://ie.suberic.net/~kevin   cheap & dangerous quality -- g.b. shaw

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
Irish Linux Users Group <ilug@linux.ie>,"Here's a weird and wacky problem:

I'm currently out of the country with my trusty Evo N600c laptop. When I 
tried to use the serial port to talk to my mobile phone, Linux behaved 
pretty much as if the port was fried. Bizarre, I thought, because I'd 
used it successfully while in the office. The only difference was that I 
was trying the thing in the hotel. I entertained brief notions of having 
somehow fried the serial drivers, then rebooted the laptop to Windows 
and tried again. Worked perfectly. Back to Linux. Still not talking. 
Considered that it might be flaky power, so I ran the laptop on battery. 
Nope. Tried moving the laptop to a differnet part of the room where 
there might be less bogon flux. Still not working. Eventually I gave up 
and used the IrDA port instead - which is usually the serial connection 
of doom, grief, and teeth-grinding.

This morning, in the office, the damn thing is working without a hitch.

Anyone like to suggest what mystery technology is in use in the hotel 
that prevents serial ports from working under Linux?

Cheers,
Waider.
-- 
waider@waider.ie / Yes, it /is/ very personal of me

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
ilug@linux.ie,"JPL suggested:
>  Recursion is only truely useful if you have an infinite stack. People
> that think they have an infinite stack shouldn't be let near a compiler.

Well, when studying engineering the rule of thumb was that infinity was 10
times bigger then the most you could expect to use.

Therefore I believe in infinite stack.

But I do not feel I am a compiler risk either. So where does this leave me?

<grin>

- Matthew


__________________________________________________
Do You Yahoo!?
Everything you'll ever need on one web page
from News and Sport to Email and Music Charts
http://uk.my.yahoo.com


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
ilug@linux.ie,"Kate P Looney wrote:
> Vendors wrote their own wierd-ass installers & config tools to lock
> people to their OS, they added all sorts of functionality that was not
> availible to other OSes to make themselves different from the competition

I think the words you are looking for are ""competitive advantage"" or
""differentiation"".

Since most Linux vendors are businesses, they need to make money to
survive[1]. To make money they need to sell products. To ensure they sell
their product, they must provide something that other vendors do not.

The down side is that this produces many variations of the same product. The
benefit of open source is that there is a common standard which everyone can
share. (The up side is that the competition drives the different
organisations to constantly improve their product offering[2].)

So unlike SunOS vs AIX vs HPUX vs Tru64, where the API's and available
functionality were often starkly different, Linux distributions are mostly
the same.

While I may have to look in /var/named on Red Hat, and /etc/bind on Debian,
the binaries are basically the same, as are the man pages. In most cases,
doing a ""man named"" will reveal the compiled location of the config files.
So long as this is understood, it is easy enough to administer most Linux
distributions.

I expect that as companies and public sector organisations begin to
understand the open source paradigm, you will find even more distributions
appearing. The reason I believe this is that deriving a new distribution
from, say, Debian requires comparatively little effort. I would see this
requiring slightly more effort than the amount of time many enterprise
admins spend trying to customise the desktops, screen savers and software
distribution mechanisms of their own organisations.

IMHO, as always...


- Matthew

[1] Depending on your world view, this may be rephrased as ""they need to
make oodles of profits and screw the little man to survive."" This discussion
is beyond the scope of this list. :)

[2] The often overlooked problem with competition is that it weakens the
""combatants"", leaving the field open for a less powerful force to take over
and entrench its position (in this case I would be referring to Microsoft).
However, I do not believe this will effect the Linux movement as all the
vendors are obliged to work together to a great degree, thanks to the GPL.



__________________________________________________
Do You Yahoo!?
Everything you'll ever need on one web page
from News and Sport to Email and Music Charts
http://uk.my.yahoo.com


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
zzz@spamassassin.taint.org,"The following domains that are registered as belonging
to you are due to expire within the next 60 days. If
you would like to renew them, please contact
nic@starflung.com; otherwise they will be deactivated
and may be registered by another.


Domain Name, Expiry Date
nutmegclothing.com, 2002-06-26
"
"""Adam L. Beberg"" <beberg@mithral.com>","It's a fair trade, IMO.  Same for some mid-east bloke who's dying to marry 
American so he can start his own business.  But BB is right.  When the 
thrill is gone, she should take his shit.  LOL
CindyDrinking

On Thu, 5 Sep 2002, Adam L. Beberg wrote:

> On Thu, 5 Sep 2002 bitbitch@magnesium.net wrote:
> 
> > Again, these situations are great, provided everyone is aware that the
> > relationship is a contractual one -- he wants a maid, a dog and a
> > prostitute he doesn't have to pay, and she wants a country that isn't
> > impoverished and teeming with AIDS.
> 
> You assume that they just match people up and marry them off, and neither is
> attracted to the other, which is not the case. Even this has arranged
> marrage beat by a long way.
> 
> Males gets: A wife for a while, and if they actually like each other, for a
> long time.
> Female gets: Into Britan, out of a country with no real rights for women, no
> opportunities for her or her children, out of the polution, AIDS, and an
> uncountable number of scary tropical diseases. Not to mention in most cases
> living conditions that us spoiled Americans cannot even comprehend.
> 
> Yea, the women is definately getting tha bad end of the deal here.
> 
> You're so easy to taunt :)
> 
> - Adam L. ""Duncan"" Beberg
>   http://www.mithral.com/~beberg/
>   beberg@mithral.com
> 

-- 
""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn


"
FoRK <FoRK@xent.com>,"On Sunday 01 September 2002 08:43 pm, Reza B'Far (eBuilt) wrote:
> 3.  Java is not just a programming language!

The astounding thing about java is that despite all of the many significant 
points in its favor, it still manages to suck, and break across JVMs.

I was really looking forward to being able to use a better language like 
java and get it compiled to real platform-specific binaries via the GNU 
compiler collection.   But this seems to have never really gotten anywhere 
because it would require porting or reimplementing libraries, which are 
probably not source-available or tolerably licenced.   When I looked at 
what I had to do to gcc and link ""hello world,"" I lost interest.

Who the hell is writing the runtimes, anyway?   Why are Perl/Python/Ruby 
more reliable?   In a world where the Macs all ran emulated 68K code 
utterly reliably, it's just hard to accept that there can't be a single 
portable JVM that just works.

My opinion is biased because of the disgraceful state of non-Windoze 
browser java implementations.

Eirikur




"
Irish Linux Users Group <ilug@linux.ie>,"  | Date: Fri, 19 Jul 2002 15:22:26 +0100
  | From: ""Matthew French"" <mfrench42@yahoo.co.uk>
  | 
  | Niall asked:
  |  > I have about 60G of data which I need to copy from one disk to
  |  > another.  [ ... ] The problem is the bulk of the data [ ... ]
  |  > have two directory entries i.e. there is a hard link [ ... ]
  | 
  | How about something like:
  | 
  |    cd {dest.dir}
  |    tar -C {source.dir} cf - | tar xf -
  | 
  | tar cf - will pipe the tar file to stdout and tar xf - will untar it. This
  | should keep permissions and links, and if you do it as root you will keep
  | the owners too... :)
  | 
  | Not tested, though. You may need other flags as well.

 the above (or something close to it) will work.

 however, the data will be read and written twice by the
 1st (source) `tar', and read twice by the 2nd (sink) `tar',
 albeit only written once as the sink realizes the second
 copy is a hard link to the first.  with c.60Gb of data,
 that will make a difference, at least in time and CPU
 resource consumed (albeit, in this case, not storage).

 the issue here is tar(1) (and cpio(1)) archives always
 contain the data for each name of a hard link.  this is
 (probably) for several reasons, and is not necessarily a
 bad thing.   e.g., it provides a degree of redundancy to
 help cope with bad media.

 the source `tar' is creating an archive, which is being
 written down the pipe (to be consumed by the sink `tar').
 that is why storage is not an issue per se here, as the
 full archive is not ""saved"" --- if it were, you'd need
 at least 2x60Gb, or over 120Gb!   (the extra is `tar's
 overhead, which is minimal but does add up, esp. when
 a ""large"" blocking factor is used.)

cheers!
	-blf-
--
 Innovative, very experienced, Unix and      | Brian Foster    Dublin, Ireland
 Chorus (embedded RTOS) kernel internals     | e-mail: blf@utvinternet.ie
 expert looking for a new position ...       | mobile: (+353 or 0)86 854 9268
  For a résumé, contact me, or see my website  http://www.blf.utvinternet.ie

    Stop E$$o (ExxonMobile):  «Whatever you do, don't buy Esso --- they
     don't give a damn about global warming.»    http://www.stopesso.com
     Supported by Greenpeace, Friends of the Earth, and numerous others...

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
ilug@linux.ie,"Philip Reynolds wrote:
>>Does anyone know how to list the biggest file in my
>>root directory?or the second biggest ..etc...
> $ find /dir -name \*  | xargs du -s | sort -n

You might want to put a '-type f' on that find.

Paul.


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
fork@example.com,"Adam L. Beberg wrote:
 > Forwarding me stuff from a list is hardly handing me a job.

I was talking about the open reqs at Kana (the company I work for).
Oh, but programming in Java is beneath you.

- Joe



"
"""'ilug@linux.ie'"" <ilug@linux.ie>","I am trying to manage the email for a domain which I have hosted with
hosting365, and am trying to get the whole email send and receive thing
working nice and easily.
At the moment I have configured Fetchmail to poll the different pop3
mailboxes and deliver the mail accordingly, although it appears that I have
to have only one unix user being able to receive from each pop3 mailbox.
This could be a limitation of the fetchmailconf programme, I'm not sure, but
It would be much handier if I could just tell it to collect all of the mail
from the different mailboxes, and then deliver it locally according to the
""To:"" header instead of the pop3 mailbox it came from.
The other issue I am having is sending outgoing mail.  I have been trying to
use sendmail, but am finding it to be an absolute pain in the posterior, and
when the relay server will only accept outgoing connections if I have
checked for incoming mail in the last twenty minutes, and I don't know how
to set sendmail to run a command before it sends out the mail.  Do any of
the outgoing mailer programs, exim or postfix or whatever, have a 'nice'
configuration interface, or do they all have nice friendly configuration
files like sendmail.

Any suggestions of alternative solutions would be much appreciated.  There
are only three or four email addresses in my domain, and setting it up for
scheduled collection and either scheduled or immediate delivery would do me
fine.

Thanks,

	David.

David Hamilton
Senior Technical Consultant
HP Ireland 

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
zzzzteana@yahoogroups.com,"Bill:
> I've decided that I ought to put some of my writing samples on-line for
> potential employers to mock. And I don't want to pay for it. There are still
> a couple dozen places to do this, do any of you have preferences?
>
Getting your own domain needn't be expensive, looks more professional, and
you're not going to suddenly lose your site with little or no notice (yes,
I'm still smarting from bastard Geocities). I registered mine through
http://www.easyspace.com/ - works out about a pound a week for registration
and 30Mb hosting. It's a valuable service, there's no reason not to expect
to pay.

TimC

------------------------ Yahoo! Groups Sponsor ---------------------~-->
Looking for a more powerful website? Try GeoCities for $8.95 per month.
Register your domain name (http://your-name.com). More storage! No ads!
http://geocities.yahoo.com/ps/info
http://us.click.yahoo.com/aHOo4D/KJoEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



"
"""'mconway35@eircom.net'"" <mconway35@eircom.net>, ILUG@linux.ie","Yes, the lasat speed basic sucks-ass.com, it won't work coz its from eircon
who are shite. 

I have two of em sitting in my drawer of ""might have a use some day or
other""...

Get yourself an el-cheapo ISDN card, 50 yoyo's will usually suffice. I have
a TRUST load a crap HFC based one which has been trodding along nicely for
yonks. Gets detected automagically by pretty much ANY distro, has kernel
support for a million years or so. 

Later,
CW

p.s.: you other modems are probably winmodems and are a pain in ze arse.com,
they will work with lots of poking but not worth the effort IMHO. Just use
ISDN and NAT it.


-----------------
Regarding:
Another problem I have is that I cannot install my ISDN, USB modem ( LASAT
Speed Basic ), however im pretty sure its not supported by Linux, but again
it is featured in the Hardware Browser, without installed drivers.

Thanks for your replies.... However i still cant get it to detect the
External USB modem. I also have an internal 56k fax modem, but i cannot get
that detected either ( maybe its because it was designed for Windows and is
not supported ). Im not going to buy a new modem ( I think 2 is more than
enough for 1 PC ).

It could well be my inexperience with Linux that is making this more
difficult, but whatever it is iv just about had enough!! Any last gasp ideas
would be welcome

Many Thanks

Mark



-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
fork@spamassassin.taint.org,"Bitbitch writes:
> Listen.  If you pull numbers like that without a fact, the automagic
> assumption is yes, they were extracted out of your neither orifice.
> Point wasn't to conclude otherwise unless you had any relevant bits.
> Its not my job to do _your_ bit searching for you, but I figured I'd
> humor fork with this bit of finding:
> 
> http://www.thebody.com/bp/apr01/research_notebook.html  (Pointing ot
> averages of about 13 for every 3 months (for gay men), which totals to
> about  52 a year.  52 a year doesn't equal 3000.   Or even 300.

Er, that study would seem to lend credence to Eugen's
estimations, rather than casting fresh doubts. 

52 a year *does* exceed 300, in under 6 years' time. The average
age of that study's participants was *39* -- meaning some 
participants may have had 20-25+ years of active sex life. 

At that age, and further ** HIV+ **, it seems reasonable to
think that some the participants may have actually slowed 
their pace a bit. 

So while this study's summary info is incomplete, you could 
easily conclude that the *average* participant in this one study
will have had over a thousand partners over a 40-50+ year active 
sex life, and so the even-more-active tails of the distribution
could easily be in the 3000+ range.

Of course this says very little, almost nothing, about the overall 
population behavior, gay or straight, and the relative prevalence
of 3K+ individuals in either group. But it does strongly suggest 
that gay males with 3K+ partners exist in measurable numbers, so
people should stop treating Eugen's anecdotal estimation as if it
were sheer fantasy. BitBitch's own citation suggests otherwise.

- Gordon



"
rpm-zzzlist@freshrpms.net,"Once upon a time, Roi wrote :

> oh xmms didn't work for me also
> i used mpg123 i tought its something from me

Nope, this is ""normal"" as Red Hat removed all mp3 support from 8.0 because
of patent and royalty issues :-(
On freshrpms.net, you can find the xmms mp3 plugin as I said, but also
libmad, lame (mp3 encoder), and soon mpg321 as I often used it myself.
Many other players can also play mp3 files, like alsaplayer, xine, mplayer.

> like mplayer not working also and gives black screen

This is not normal though...
Try ""mplayer -vo help"" then try usinf various output methods to see if some
do work or not.

Matthias

-- 
Clean custom Red Hat Linux rpm packages : http://freshrpms.net/
Red Hat Linux release 7.3 (Valhalla) running Linux kernel 2.4.18-10acpi
Load : 0.00 0.05 0.01

_______________________________________________
RPM-List mailing list <RPM-List@freshrpms.net>
http://lists.freshrpms.net/mailman/listinfo/rpm-list


"
rpm-list@freshrpms.net,"
    Cliped from the latest CERT.org warning list:

-----------------------------------------------------------------------------------------------
""I. Description

   The  CERT/CC  has received confirmation that some copies of the source
   code  for  the  Sendmail  package have been modified by an intruder to
   contain a Trojan horse.

   The following files were modified to include the malicious code:

     sendmail.8.12.6.tar.Z
     sendmail.8.12.6.tar.gz

   These  files  began  to  appear  in  downloads  from  the  FTP  server
   ftp.sendmail.org  on  or  around  September  28,  2002.  The  Sendmail
   development  team  disabled  the  compromised FTP server on October 6,
   2002  at  approximately  22:15  PDT.  It  does  not appear that copies
   downloaded  via  HTTP contained the Trojan horse; however, the CERT/CC
   encourages  users  who  may  have  downloaded the source code via HTTP
   during  this  time  period  to take the steps outlined in the Solution
   section as a precautionary measure.""

     OK, it's now time to work out the PGP securing of apt repository traffic. I've never gotten anything but ""sitename.whatever will not be authenticated"" until running Redhat 8.0 when I get something about having ""No Key"" for various files.

    What's it take to ensure we're covered against this kind of childish/moronic/Microsoft-era problems?
 
------------------------------------------------------------------------
Brian Fahrländer              Linux Zealot, Conservative, and Technomad
Evansville, IN                    My Voyage: http://www.CounterMoon.com
ICQ  5119262
------------------------------------------------------------------------
angegangen, Schlange-Hüften, sein es ganz rüber jetzt. Bügel innen fest,
weil es eine lange, süsse Fahrt ist. 

_______________________________________________
RPM-List mailing list <RPM-List@freshrpms.net>
http://lists.freshrpms.net/mailman/listinfo/rpm-list


"
ilug@linux.ie,"Some local Irish wildlife

http://www.iol.ie/~padraiga/pics/wild1.jpg
http://www.iol.ie/~padraiga/pics/wild2.jpg

was I bored or what?

Pádraig.


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
"Tyana Archive <tyana@1starnet.com>, Forteana <forteana@yahoogroups.com>","http://www.ouchytheclown.com/welcome.html



------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



"
kevin lyda <kevin+dated+1029661657.64143c@ie.suberic.net>,"bugger, lost the url to that
site/tarball in question. I have
it on a cd somewhere though.
the bblcd toolkit is similar
but is for building a cd-based
distro.[1]

shane

[1]*this time*
http://www.bablokb.de/bblcd/

-----Original Message-----
From: kevin lyda [mailto:kevin+dated+1029661657.64143c@ie.suberic.net]
Sent: 13 August 2002 10:08
To: ilug@linux.ie
Subject: Re: [ILUG] SUSE 8 disks? (thread changed slightly)


On Tue, Aug 13, 2002 at 09:55:49AM +0100, Ryan, Shane wrote:
> distro.  There's even a tarball[1] with this

segfault.  core dumped.

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
FoRK <FoRK@xent.com>,"So, last night around 5:30AM I'm woken up by a loud *craaack*, followed by
one of the most dreaded sounds a homeowner ever hears: vast quantities of
water spilling onto the floor. The water is coming from the bathroom, the
toilet specifically. Turns out the water cistern on the top of the toilet
had cracked down the side, and was spilling out all the water.

So, after shutting off the water and mopping up, I was left to ponder what
are the odds of having mechanical failure of a large rectangular porcelain
bowl, in the absence of any visible stressors (like someone striking it with
a sledgehammer)? We hadn't done anything unusual to the toilet in the recent
past -- just normal use. I've *never* heard of this happening to anyone I
know. The guts, yeah, they fail all the time. But the storage bowl -- never.

Geesh.

- Jim

http://xent.com/mailman/listinfo/fork

"
